split,track_id,profile,duration_sec,n_total_events_track,event_density_per_sec,class_name,threshold,threshold_mode,TP,FP,FN,precision,recall,f1,mean_abs_time_error_ms,median_abs_time_error_ms,p90_abs_time_error_ms
TEST,test_basic_groove_000074_103bpm,basic_groove,3.87,10,2.5839793281653747,KD,0.04,global,2,2,1,0.5,0.6666666666666666,0.5714285714285715,21.291499999999992,21.291499999999992,38.324699999999986
TEST,test_basic_groove_000074_103bpm,basic_groove,3.87,10,2.5839793281653747,SD,0.04,global,2,2,2,0.5,0.5,0.5,32.99999999999997,32.99999999999997,43.06640000000003
TEST,test_basic_groove_000074_103bpm,basic_groove,3.87,10,2.5839793281653747,T12,0.04,global,1,0,0,1.0,1.0,1.0,2.249999999999863,2.249999999999863,2.249999999999863
TEST,test_basic_groove_000074_103bpm,basic_groove,3.87,10,2.5839793281653747,T14,0.04,global,0,1,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000074_103bpm,basic_groove,3.87,10,2.5839793281653747,T16,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000076_98bpm,basic_groove,3.82,10,2.617801047120419,KD,0.04,global,3,3,1,0.5,0.75,0.6,7.166666666666692,5.667000000000089,13.799800000000007
TEST,test_basic_groove_000076_98bpm,basic_groove,3.82,10,2.617801047120419,SD,0.04,global,1,1,2,0.5,0.3333333333333333,0.4,14.583000000000013,14.583000000000013,14.583000000000013
TEST,test_basic_groove_000076_98bpm,basic_groove,3.82,10,2.617801047120419,T12,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000076_98bpm,basic_groove,3.82,10,2.617801047120419,T14,0.04,global,1,0,0,1.0,1.0,1.0,26.666999999999994,26.666999999999994,26.666999999999994
TEST,test_basic_groove_000076_98bpm,basic_groove,3.82,10,2.617801047120419,T16,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000079_105bpm,basic_groove,4.11,12,2.9197080291970803,KD,0.04,global,2,4,2,0.3333333333333333,0.5,0.4,22.29150000000002,22.29150000000002,40.12470000000004
TEST,test_basic_groove_000079_105bpm,basic_groove,4.11,12,2.9197080291970803,SD,0.04,global,1,0,4,1.0,0.2,0.33333333333333337,4.416999999999893,4.416999999999893,4.416999999999893
TEST,test_basic_groove_000079_105bpm,basic_groove,4.11,12,2.9197080291970803,T12,0.04,global,1,0,0,1.0,1.0,1.0,43.74999999999996,43.74999999999996,43.74999999999996
TEST,test_basic_groove_000079_105bpm,basic_groove,4.11,12,2.9197080291970803,T14,0.04,global,1,0,0,1.0,1.0,1.0,19.916999999999963,19.916999999999963,19.916999999999963
TEST,test_basic_groove_000079_105bpm,basic_groove,4.11,12,2.9197080291970803,T16,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000082_102bpm,basic_groove,3.9,11,2.8205128205128207,KD,0.04,global,1,2,3,0.3333333333333333,0.25,0.28571428571428575,0.583,0.583,0.583
TEST,test_basic_groove_000082_102bpm,basic_groove,3.9,11,2.8205128205128207,SD,0.04,global,0,1,4,0.0,0.0,0.0,,,
TEST,test_basic_groove_000082_102bpm,basic_groove,3.9,11,2.8205128205128207,T12,0.04,global,1,0,0,1.0,1.0,1.0,16.833000000000098,16.833000000000098,16.833000000000098
TEST,test_basic_groove_000082_102bpm,basic_groove,3.9,11,2.8205128205128207,T14,0.04,global,0,1,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000082_102bpm,basic_groove,3.9,11,2.8205128205128207,T16,0.04,global,1,0,0,1.0,1.0,1.0,7.832999999999979,7.832999999999979,7.832999999999979
TEST,test_basic_groove_000083_104bpm,basic_groove,3.85,11,2.857142857142857,KD,0.04,global,3,2,1,0.6,0.75,0.6666666666666665,20.75,23.58300000000002,35.05019999999999
TEST,test_basic_groove_000083_104bpm,basic_groove,3.85,11,2.857142857142857,SD,0.04,global,3,0,1,1.0,0.75,0.8571428571428571,23.91666666666664,17.249999999999986,35.91639999999998
TEST,test_basic_groove_000083_104bpm,basic_groove,3.85,11,2.857142857142857,T12,0.04,global,1,0,0,1.0,1.0,1.0,32.75000000000006,32.75000000000006,32.75000000000006
TEST,test_basic_groove_000083_104bpm,basic_groove,3.85,11,2.857142857142857,T14,0.04,global,1,0,0,1.0,1.0,1.0,18.167000000000044,18.167000000000044,18.167000000000044
TEST,test_basic_groove_000083_104bpm,basic_groove,3.85,11,2.857142857142857,T16,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000084_95bpm,basic_groove,4.19,10,2.386634844868735,KD,0.04,global,3,2,1,0.6,0.75,0.6666666666666665,19.694333333333343,3.582999999999892,44.583000000000084
TEST,test_basic_groove_000084_95bpm,basic_groove,4.19,10,2.386634844868735,SD,0.04,global,3,0,0,1.0,1.0,1.0,8.138666666666738,8.083000000000062,9.083000000000041
TEST,test_basic_groove_000084_95bpm,basic_groove,4.19,10,2.386634844868735,T12,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000084_95bpm,basic_groove,4.19,10,2.386634844868735,T14,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000084_95bpm,basic_groove,4.19,10,2.386634844868735,T16,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000086_104bpm,basic_groove,4.09,11,2.6894865525672373,KD,0.04,global,4,2,0,0.6666666666666666,1.0,0.8,20.49999999999997,20.62499999999995,36.65009999999995
TEST,test_basic_groove_000086_104bpm,basic_groove,4.09,11,2.6894865525672373,SD,0.04,global,3,2,1,0.6,0.75,0.6666666666666665,24.7776666666667,20.499999999999964,44.3000000000001
TEST,test_basic_groove_000086_104bpm,basic_groove,4.09,11,2.6894865525672373,T12,0.04,global,1,0,0,1.0,1.0,1.0,41.33300000000006,41.33300000000006,41.33300000000006
TEST,test_basic_groove_000086_104bpm,basic_groove,4.09,11,2.6894865525672373,T14,0.04,global,0,1,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000086_104bpm,basic_groove,4.09,11,2.6894865525672373,T16,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000087_112bpm,basic_groove,3.98,10,2.512562814070352,KD,0.04,global,3,2,1,0.6,0.75,0.6666666666666665,17.41666666666671,4.083000000000059,39.35020000000007
TEST,test_basic_groove_000087_112bpm,basic_groove,3.98,10,2.512562814070352,SD,0.04,global,2,2,1,0.5,0.6666666666666666,0.5714285714285715,22.083500000000036,22.083500000000036,35.41670000000006
TEST,test_basic_groove_000087_112bpm,basic_groove,3.98,10,2.512562814070352,T12,0.04,global,1,3,0,0.25,1.0,0.4,28.83300000000011,28.83300000000011,28.83300000000011
TEST,test_basic_groove_000087_112bpm,basic_groove,3.98,10,2.512562814070352,T14,0.04,global,1,0,0,1.0,1.0,1.0,38.08300000000009,38.08300000000009,38.08300000000009
TEST,test_basic_groove_000087_112bpm,basic_groove,3.98,10,2.512562814070352,T16,0.04,global,0,1,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000088_97bpm,basic_groove,4.29,11,2.564102564102564,KD,0.04,global,3,3,1,0.5,0.75,0.6,8.166666666666684,1.0830000000000006,18.41660000000004
TEST,test_basic_groove_000088_97bpm,basic_groove,4.29,11,2.564102564102564,SD,0.04,global,2,2,2,0.5,0.5,0.5,6.124999999999991,6.124999999999991,10.424999999999962
TEST,test_basic_groove_000088_97bpm,basic_groove,4.29,11,2.564102564102564,T12,0.04,global,0,2,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000088_97bpm,basic_groove,4.29,11,2.564102564102564,T14,0.04,global,1,0,0,1.0,1.0,1.0,1.5000000000000568,1.5000000000000568,1.5000000000000568
TEST,test_basic_groove_000088_97bpm,basic_groove,4.29,11,2.564102564102564,T16,0.04,global,0,1,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000094_100bpm,basic_groove,4.38,10,2.2831050228310503,KD,0.04,global,1,4,2,0.2,0.3333333333333333,0.25,0.0,0.0,0.0
TEST,test_basic_groove_000094_100bpm,basic_groove,4.38,10,2.2831050228310503,SD,0.04,global,2,2,1,0.5,0.6666666666666666,0.5714285714285715,9.624999999999995,9.624999999999995,9.791399999999983
TEST,test_basic_groove_000094_100bpm,basic_groove,4.38,10,2.2831050228310503,T12,0.04,global,1,0,0,1.0,1.0,1.0,10.666999999999982,10.666999999999982,10.666999999999982
TEST,test_basic_groove_000094_100bpm,basic_groove,4.38,10,2.2831050228310503,T14,0.04,global,0,0,1,0.0,0.0,0.0,,,
TEST,test_basic_groove_000094_100bpm,basic_groove,4.38,10,2.2831050228310503,T16,0.04,global,1,0,1,1.0,0.5,0.6666666666666666,20.8330000000001,20.8330000000001,20.8330000000001
TEST,test_basic_groove_000104_94bpm,basic_groove,4.36,11,2.5229357798165135,KD,0.04,global,3,2,1,0.6,0.75,0.6666666666666665,12.055666666666687,17.417000000000016,18.48340000000004
TEST,test_basic_groove_000104_94bpm,basic_groove,4.36,11,2.5229357798165135,SD,0.04,global,3,0,0,1.0,1.0,1.0,14.555666666666708,8.167000000000035,24.83340000000012
TEST,test_basic_groove_000104_94bpm,basic_groove,4.36,11,2.5229357798165135,T12,0.04,global,1,0,0,1.0,1.0,1.0,38.49999999999998,38.49999999999998,38.49999999999998
