threshold_mode,track_id,profile,duration_sec,event_density_per_sec,TP,FP,FN,precision,recall,f1
global,test_standard_rock_000836_143bpm,standard_rock,3.55,3.3802816901408455,7,8,5,0.4666666666666667,0.5833333333333334,0.5185185185185186
global,test_standard_rock_001170_119bpm,standard_rock,3.81,3.149606299212598,7,8,5,0.4666666666666667,0.5833333333333334,0.5185185185185186
global,test_basic_groove_000020_96bpm,basic_groove,4.31,2.552204176334107,6,6,5,0.5,0.5454545454545454,0.5217391304347826
global,test_basic_groove_000046_90bpm,basic_groove,4.07,2.9484029484029484,6,5,6,0.5454545454545454,0.5,0.5217391304347826
global,test_basic_groove_000264_103bpm,basic_groove,4.15,2.8915662650602405,6,5,6,0.5454545454545454,0.5,0.5217391304347826
global,test_basic_groove_000325_100bpm,basic_groove,4.22,2.6066350710900474,6,6,5,0.5,0.5454545454545454,0.5217391304347826
global,test_basic_groove_000570_114bpm,basic_groove,3.89,3.0848329048843186,6,5,6,0.5454545454545454,0.5,0.5217391304347826
global,test_basic_groove_000616_91bpm,basic_groove,3.96,2.7777777777777777,6,6,5,0.5,0.5454545454545454,0.5217391304347826
global,test_basic_groove_000636_113bpm,basic_groove,3.7,2.972972972972973,6,6,5,0.5,0.5454545454545454,0.5217391304347826
global,test_basic_groove_001023_103bpm,basic_groove,4.01,2.493765586034913,6,7,4,0.46153846153846156,0.6,0.5217391304347826
global,test_basic_groove_001029_113bpm,basic_groove,4.04,2.9702970297029703,6,5,6,0.5454545454545454,0.5,0.5217391304347826
global,test_basic_groove_001078_110bpm,basic_groove,4.15,2.650602409638554,6,6,5,0.5,0.5454545454545454,0.5217391304347826
global,test_basic_groove_001079_98bpm,basic_groove,4.27,2.8103044496487124,6,5,6,0.5454545454545454,0.5,0.5217391304347826
global,test_basic_groove_001124_99bpm,basic_groove,4.24,2.830188679245283,6,5,6,0.5454545454545454,0.5,0.5217391304347826
global,test_fast_dense_000355_176bpm,fast_dense,3.34,3.5928143712574854,6,5,6,0.5454545454545454,0.5,0.5217391304347826
global,test_fast_dense_000945_177bpm,fast_dense,3.33,3.6036036036036037,6,5,6,0.5454545454545454,0.5,0.5217391304347826
global,test_fast_dense_001184_168bpm,fast_dense,3.22,3.7267080745341614,6,5,6,0.5454545454545454,0.5,0.5217391304347826
global,test_fill_heavy_000200_120bpm,fill_heavy,3.97,2.5188916876574305,6,7,4,0.46153846153846156,0.6,0.5217391304347826
global,test_fill_heavy_000240_116bpm,fill_heavy,4.05,3.4567901234567904,6,3,8,0.6666666666666666,0.42857142857142855,0.5217391304347826
global,test_fill_heavy_000337_104bpm,fill_heavy,4.29,2.564102564102564,6,6,5,0.5,0.5454545454545454,0.5217391304347826
global,test_fill_heavy_000342_119bpm,fill_heavy,4.0,3.0,6,5,6,0.5454545454545454,0.5,0.5217391304347826
global,test_fill_heavy_000530_127bpm,fill_heavy,3.86,2.849740932642487,6,6,5,0.5,0.5454545454545454,0.5217391304347826
global,test_fill_heavy_000533_107bpm,fill_heavy,4.16,2.8846153846153846,6,5,6,0.5454545454545454,0.5,0.5217391304347826
global,test_fill_heavy_000718_130bpm,fill_heavy,3.83,2.8720626631853787,6,6,5,0.5,0.5454545454545454,0.5217391304347826
global,test_fill_heavy_000752_99bpm,fill_heavy,4.33,2.540415704387991,6,6,5,0.5,0.5454545454545454,0.5217391304347826
global,test_fill_heavy_000960_105bpm,fill_heavy,4.26,2.5821596244131455,6,6,5,0.5,0.5454545454545454,0.5217391304347826
global,test_fill_heavy_001072_124bpm,fill_heavy,3.91,2.813299232736573,6,6,5,0.5,0.5454545454545454,0.5217391304347826
global,test_humanized_mixed_000123_120bpm,humanized_mixed,3.98,2.763819095477387,6,6,5,0.5,0.5454545454545454,0.5217391304347826
global,test_humanized_mixed_000289_86bpm,humanized_mixed,4.03,2.9776674937965257,6,5,6,0.5454545454545454,0.5,0.5217391304347826
global,test_humanized_mixed_000364_118bpm,humanized_mixed,4.0,2.5,6,7,4,0.46153846153846156,0.6,0.5217391304347826
global,test_humanized_mixed_000929_150bpm,humanized_mixed,3.58,3.631284916201117,6,4,7,0.6,0.46153846153846156,0.5217391304347826
global,test_humanized_mixed_000972_94bpm,humanized_mixed,4.37,2.974828375286041,6,4,7,0.6,0.46153846153846156,0.5217391304347826
global,test_standard_rock_000097_114bpm,standard_rock,4.07,2.9484029484029484,6,5,6,0.5454545454545454,0.5,0.5217391304347826
global,test_standard_rock_000195_138bpm,standard_rock,3.65,3.2876712328767126,6,5,6,0.5454545454545454,0.5,0.5217391304347826
global,test_standard_rock_000385_121bpm,standard_rock,3.95,3.0379746835443036,6,5,6,0.5454545454545454,0.5,0.5217391304347826
global,test_standard_rock_000405_112bpm,standard_rock,4.12,2.912621359223301,6,5,6,0.5454545454545454,0.5,0.5217391304347826
global,test_standard_rock_000537_104bpm,standard_rock,4.27,2.576112412177986,6,6,5,0.5,0.5454545454545454,0.5217391304347826
global,test_standard_rock_000659_142bpm,standard_rock,3.46,3.468208092485549,6,5,6,0.5454545454545454,0.5,0.5217391304347826
global,test_standard_rock_000676_139bpm,standard_rock,3.7,2.972972972972973,6,6,5,0.5,0.5454545454545454,0.5217391304347826
global,test_standard_rock_000743_144bpm,standard_rock,3.59,3.064066852367688,6,6,5,0.5,0.5454545454545454,0.5217391304347826
global,test_standard_rock_000826_105bpm,standard_rock,3.69,2.981029810298103,6,6,5,0.5,0.5454545454545454,0.5217391304347826
global,test_standard_rock_000916_121bpm,standard_rock,3.96,2.525252525252525,6,7,4,0.46153846153846156,0.6,0.5217391304347826
global,test_standard_rock_001020_113bpm,standard_rock,4.04,2.4752475247524752,6,7,4,0.46153846153846156,0.6,0.5217391304347826
global,test_standard_rock_001021_132bpm,standard_rock,3.56,3.089887640449438,6,6,5,0.5,0.5454545454545454,0.5217391304347826
global,test_standard_rock_001042_138bpm,standard_rock,3.72,2.956989247311828,6,6,5,0.5,0.5454545454545454,0.5217391304347826
global,test_standard_rock_001103_140bpm,standard_rock,3.69,2.981029810298103,6,6,5,0.5,0.5454545454545454,0.5217391304347826
global,test_basic_groove_000076_98bpm,basic_groove,3.82,2.617801047120419,5,4,5,0.5555555555555556,0.5,0.5263157894736842
global,test_basic_groove_000438_112bpm,basic_groove,3.98,2.512562814070352,5,4,5,0.5555555555555556,0.5,0.5263157894736842
global,test_basic_groove_000453_90bpm,basic_groove,4.41,2.494331065759637,5,3,6,0.625,0.45454545454545453,0.5263157894736842
global,test_basic_groove_000729_98bpm,basic_groove,4.11,2.4330900243309,5,4,5,0.5555555555555556,0.5,0.5263157894736842
global,test_basic_groove_001169_98bpm,basic_groove,4.11,2.67639902676399,5,3,6,0.625,0.45454545454545453,0.5263157894736842
global,test_fast_dense_000143_184bpm,fast_dense,3.2,3.125,5,4,5,0.5555555555555556,0.5,0.5263157894736842
global,test_fast_dense_000722_167bpm,fast_dense,3.23,3.4055727554179565,5,3,6,0.625,0.45454545454545453,0.5263157894736842
global,test_fill_heavy_000624_118bpm,fill_heavy,4.01,2.493765586034913,5,4,5,0.5555555555555556,0.5,0.5263157894736842
global,test_fill_heavy_001005_125bpm,fill_heavy,3.89,2.570694087403599,5,4,5,0.5555555555555556,0.5,0.5263157894736842
global,test_fill_heavy_001158_111bpm,fill_heavy,4.09,2.6894865525672373,5,3,6,0.625,0.45454545454545453,0.5263157894736842
global,test_standard_rock_000101_135bpm,standard_rock,3.64,3.021978021978022,5,3,6,0.625,0.45454545454545453,0.5263157894736842
global,test_standard_rock_000131_106bpm,standard_rock,3.95,2.7848101265822782,5,3,6,0.625,0.45454545454545453,0.5263157894736842
global,test_standard_rock_000189_108bpm,standard_rock,4.06,2.4630541871921183,5,4,5,0.5555555555555556,0.5,0.5263157894736842
global,test_standard_rock_000322_124bpm,standard_rock,3.91,2.557544757033248,5,4,5,0.5555555555555556,0.5,0.5263157894736842
global,test_standard_rock_000413_142bpm,standard_rock,3.67,2.7247956403269757,5,4,5,0.5555555555555556,0.5,0.5263157894736842
global,test_standard_rock_000526_120bpm,standard_rock,3.85,2.857142857142857,5,3,6,0.625,0.45454545454545453,0.5263157894736842
global,test_standard_rock_000534_113bpm,standard_rock,3.71,2.964959568733154,5,3,6,0.625,0.45454545454545453,0.5263157894736842
global,test_standard_rock_000664_127bpm,standard_rock,3.74,3.2085561497326203,5,2,7,0.7142857142857143,0.4166666666666667,0.5263157894736842
global,test_standard_rock_000717_114bpm,standard_rock,4.09,2.6894865525672373,5,3,6,0.625,0.45454545454545453,0.5263157894736842
global,test_standard_rock_001002_129bpm,standard_rock,3.37,3.264094955489614,5,3,6,0.625,0.45454545454545453,0.5263157894736842
global,test_standard_rock_001130_121bpm,standard_rock,3.95,2.7848101265822782,5,3,6,0.625,0.45454545454545453,0.5263157894736842
global,test_fast_dense_000159_186bpm,fast_dense,3.27,4.892966360856269,9,9,7,0.5,0.5625,0.5294117647058824
global,test_fill_heavy_000532_110bpm,fill_heavy,4.09,3.6674816625916873,8,7,7,0.5333333333333333,0.5333333333333333,0.5333333333333333
